Fecha,Pasajero,Costo,Peajes,Espera,Parking,Extra,Total,cantidad_pasajeros,Tipo_Servicio,Ubicación,venta,fecha,total_usd,clima,temperatura,autopista,trafico,feriado,genero,Rating,Review,Aceptado
19/11/2024,,41.217066228979284,,,,,0.0,1,Utilitario,Centro de Buenos Aires,1410.448716163533,19/11/2024,41.217066228979284,Llovizna,13.377390112942175,AU 9 de Julio Sur,Alto,No,F,0,,False
19/11/2024,,34.347555190816074,,,,,0.0,2,Auto,Centro de Buenos Aires,1398.7012697736714,19/11/2024,34.347555190816074,Llovizna,15.910870891274481,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,12.343808092290763,0.0539845758354755,,,,0.0,1,Utilitario,Aeroparque,1403.2587214116377,19/11/2024,12.343808092290763,Llovizna,12.636417223319956,AU 9 de Julio Sur,Alto,No,M,0,,False
19/11/2024,,46.82535360345544,0.8024691358024691,,,,0.0,3,Utilitario,Recoleta,1447.4430904028668,19/11/2024,46.82535360345544,Llovizna,27.781997723472777,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,4.517225433992674,,,,,0.0,3,Utilitario,San Cristóbal,1486.21192598561,19/11/2024,4.517225433992674,Llovizna,20.552072797084932,AU 9 de Julio Sur,Alto,No,F,0,,False
19/11/2024,,14.393265676268955,0.0091743119266055,,,,0.0,4,Ejecutivo,Alto Palermo,1462.9356496549422,19/11/2024,14.393265676268955,Llovizna,31.05943550724208,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,20.573013487151268,0.0539845758354755,,,,0.0,1,Minivan,Aeroparque,1426.1392769771987,19/11/2024,20.573013487151268,Llovizna,19.811393413640513,AU 9 de Julio Sur,Alto,No,M,0,,False
19/11/2024,,7.331168314618646,,,,,0.0,2,Ejecutivo,Palermo Soho,1415.3136705387549,19/11/2024,7.331168314618646,Llovizna,11.248523397749324,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,5.019139371102971,0.233502538071066,,,,0.0,3,Utilitario,Retiro,1318.6554928278597,19/11/2024,5.019139371102971,Llovizna,14.539352099794836,AU 9 de Julio Sur,Alto,No,M,0,,False
19/11/2024,,12.343808092290763,0.0539845758354755,,,,0.0,2,Utilitario,Aeroparque,1382.257249869654,19/11/2024,12.343808092290763,Llovizna,22.69727638349562,AU 9 de Julio Sur,Alto,No,M,0,,False
19/11/2024,,39.021128002879536,,,,,0.0,4,Auto,Recoleta,1371.6083247214772,19/11/2024,39.021128002879536,Llovizna,12.33744720471286,AU 9 de Julio Sur,Alto,No,F,0,,False
19/11/2024,,4.517225433992674,,,,,0.0,3,Utilitario,Almagro,1429.8288075199114,19/11/2024,4.517225433992674,Llovizna,32.913519115284195,AU 9 de Julio Sur,Alto,No,M,0,,False
19/11/2024,,10.286506743575634,,,,,0.0,2,Auto,Aeroparque,1484.865753027429,19/11/2024,10.286506743575634,Llovizna,19.78389166047264,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,12.343808092290763,,,,,0.0,2,Utilitario,Aeroparque,1377.6931203067259,19/11/2024,12.343808092290763,Llovizna,19.819095465708916,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,12.343808092290763,0.0539845758354755,,,,0.0,2,Utilitario,Aeroparque,1499.639130481112,19/11/2024,12.343808092290763,Llovizna,15.922526998304212,AU 9 de Julio Sur,Alto,No,F,0,,False
19/11/2024,,46.82535360345544,,,,,0.0,2,Utilitario,Recoleta,1485.6302215953438,19/11/2024,46.82535360345544,Llovizna,33.90931122508249,AU 9 de Julio Sur,Alto,No,M,0,,False
19/11/2024,,4.517225433992674,,,,,0.0,3,Utilitario,Recoleta,1340.151351299482,19/11/2024,4.517225433992674,Llovizna,18.33253580013949,AU 9 de Julio Sur,Alto,No,F,0,,False
19/11/2024,,41.217066228979284,,,,,0.0,2,Utilitario,Centro de Buenos Aires,1318.3475961806444,19/11/2024,41.217066228979284,Llovizna,14.680934394874525,AU 9 de Julio Sur,Alto,No,M,0,,False
