Fecha,Pasajero,Costo,Peajes,Espera,Parking,Extra,Total,cantidad_pasajeros,Tipo_Servicio,Ubicación,venta,fecha,total_usd,clima,temperatura,autopista,trafico,feriado,genero,Rating,Review,Aceptado
19/11/2024,,4.55134085954735,0.233502538071066,,,,0.0,1,Utilitario,Retiro,1351.3414091276875,19/11/2024,4.55134085954735,Niebla,10.706106019715577,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,12.343808092290763,0.0539845758354755,,,,0.0,3,Utilitario,Aeroparque,1438.572590771436,19/11/2024,12.343808092290763,Niebla,24.661650073571025,AU 9 de Julio Sur,Alto,No,M,0,,False
19/11/2024,,4.55134085954735,,,,,0.0,3,Minivan,Desconocido,1446.0868546411502,19/11/2024,4.55134085954735,Niebla,31.669545398053494,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,4.55134085954735,,,,,0.0,2,Utilitario,Retiro,1338.531215851499,19/11/2024,4.55134085954735,Niebla,14.028220886751122,AU 9 de Julio Sur,Alto,No,F,0,,False
19/11/2024,,39.021128002879536,,4.0,,,39.021128002879536,1,Auto,Recoleta,1343.6379421023607,19/11/2024,39.021128002879536,Niebla,19.98570556632651,AU 9 de Julio Sur,Alto,No,F,0,,True
19/11/2024,,10.286506743575634,,,,,0.0,2,Auto,Aeroparque,1322.3483753205599,19/11/2024,10.286506743575634,Niebla,27.930214034481256,AU 9 de Julio Sur,Alto,No,M,0,,False
19/11/2024,,15.429760115363454,,,,,0.0,2,Ejecutivo,Aeroparque,1405.9084345431368,19/11/2024,15.429760115363454,Niebla,16.928096398240747,AU 9 de Julio Sur,Alto,No,M,0,,False
19/11/2024,,10.286506743575634,,,,,0.0,4,Auto,Aeroparque,1383.6356484819855,19/11/2024,10.286506743575634,Niebla,11.91802610467808,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,4.55134085954735,,,,,0.0,1,Ejecutivo,La Boca,1352.2871653976974,19/11/2024,4.55134085954735,Niebla,17.85591666419713,AU 9 de Julio Sur,Alto,No,U,0,,False
19/11/2024,,39.021128002879536,,13.0,,,39.021128002879536,3,Auto,Recoleta,1460.496816920419,19/11/2024,39.021128002879536,Niebla,26.698445176183544,AU 9 de Julio Sur,Alto,No,F,0,,True
