Fecha,Pasajero,Costo,Peajes,Espera,Parking,Extra,Total,cantidad_pasajeros,Tipo_Servicio,Ubicación,venta,fecha,total_usd,clima,temperatura,autopista,trafico,feriado,genero,Rating,Review,Aceptado
19/11/2024,,8.572088952979696,0.0539845758354755,,,,0.0,3,Auto,Aeroparque,1373.3768634829062,19/11/2024,8.572088952979696,Niebla,14.839948548998205,AU 9 de Julio Sur,Medio,No,M,0,,False
19/11/2024,,48.77641000359942,,,,,0.0,1,Ejecutivo,Recoleta,1427.0979293443904,19/11/2024,48.77641000359942,Niebla,32.692628086142975,AU 9 de Julio Sur,Medio,No,U,0,,False
19/11/2024,,10.286506743575634,,,,,0.0,4,Utilitario,Aeroparque,1494.4641076472794,19/11/2024,10.286506743575634,Niebla,32.84844626821091,AU 9 de Julio Sur,Medio,No,U,0,,False
19/11/2024,,25.260208620566956,,,,,0.0,3,Auto,Caballito,1411.1514281216353,19/11/2024,25.260208620566956,Niebla,16.10655345925065,AU 9 de Julio Sur,Medio,No,M,0,,False
19/11/2024,,34.347555190816074,,,,,0.0,1,Utilitario,Centro de Buenos Aires,1308.0646624819892,19/11/2024,34.347555190816074,Niebla,18.78015020965556,AU 9 de Julio Sur,Medio,No,M,0,,False
19/11/2024,,,,,,,0.0,1,Minivan,Hipódromo Palermo,1389.229361099223,19/11/2024,,Niebla,33.97087805897371,AU 9 de Julio Sur,Medio,No,F,0,,False
19/11/2024,,3.7354617891586206,0.0,,,,0.0,1,Ejecutivo,Almagro,1422.9819949863968,19/11/2024,3.7354617891586206,Niebla,17.021676419801604,AU 9 de Julio Sur,Medio,No,M,0,,False
19/11/2024,,4.150513099065134,,,,,0.0,2,Auto,Almagro,1455.7626637604421,19/11/2024,4.150513099065134,Niebla,26.18468850279375,AU 9 de Julio Sur,Medio,No,M,0,,False
19/11/2024,,34.347555190816074,,,,,0.0,3,Utilitario,Centro de Buenos Aires,1392.5516547868908,19/11/2024,34.347555190816074,Niebla,20.6924151465743,AU 9 de Julio Sur,Medio,No,F,0,,False
19/11/2024,,,,,,,0.0,4,Auto,Cementerio Recoleta,1330.382021542496,19/11/2024,,Niebla,30.69346020117263,AU 9 de Julio Sur,Medio,No,M,0,,False
19/11/2024,,4.887445543079097,0.0,,,,0.0,3,Utilitario,Palermo Soho,1479.4991019661552,19/11/2024,4.887445543079097,Niebla,21.531427488821496,AU 9 de Julio Sur,Medio,No,U,0,,False
